,BBL,Ejectment_binary,Eviction/Legal Possession_x,Eviction/Legal Possession_y
0,1001110100.0,0,3,4
1,1002550001.0,0,2,1
2,1002560001.0,0,1,1
3,1003560001.0,0,2,12
4,1003620001.0,0,1,1
5,1007140031.0,0,1,1
6,1007230001.0,0,1,3
7,1007240001.0,0,1,1
8,1012210007.0,0,1,2
9,1015730001.0,0,2,5
10,1015730020.0,0,2,1
11,1015960001.0,0,3,10
12,1016050024.0,0,1,3
13,1016370001.0,0,1,1
14,1016960001.0,0,1,9
15,1018290029.0,0,1,1
16,1018550001.0,0,1,3
17,1019010051.0,0,1,1
18,1019800001.0,0,1,3
19,1021060320.0,0,1,4
20,2026380090.0,0,2,2
21,2026390001.0,0,1,4
22,2028770001.0,0,1,2
23,2035150001.0,0,2,3
24,2035370001.0,0,2,1
25,2035510001.0,0,6,2
26,2035700001.0,0,1,1
27,2037140036.0,0,1,1
28,2038660031.0,1,1,1
29,2038860002.0,0,3,5
30,2052630070.0,0,1,1
31,2055670001.0,0,2,2
32,3000680001.0,0,3,1
33,3000900001.0,0,2,1
34,3003940001.0,0,1,4
35,3004040001.0,0,2,2
36,3005380001.0,0,1,1
37,3013520080.0,0,4,2
38,3014380001.0,0,1,1
39,3016310031.0,0,1,1
40,3016880001.0,0,1,2
41,3017190001.0,0,4,6
42,3017380001.0,0,2,2
43,3017400001.0,0,2,1
44,3017490015.0,0,1,2
45,3017610063.0,0,1,1
46,3017990044.0,0,1,1
47,3028670001.0,0,1,2
48,3030270001.0,0,2,1
49,3034890001.0,0,1,2
50,3034940010.0,0,1,1
51,3035260021.0,0,1,2
52,3037770001.0,0,1,1
53,3042920061.0,0,1,2
54,3046520045.0,0,1,1
55,3069640002.0,0,3,3
56,3070470014.0,0,1,1
57,3070480015.0,0,1,1
58,3070700001.0,0,1,1
59,3071400016.0,0,2,4
60,3081930001.0,0,1,1
61,3083290225.0,0,5,3
62,4003350002.0,0,1,3
63,4004650001.0,0,2,2
64,4004900101.0,0,5,3
65,4007360002.0,0,2,1
66,4007380050.0,0,1,1
67,4049510008.0,0,1,2
68,4067920001.0,0,1,3
69,4067920030.0,0,3,9
70,4098020041.0,0,1,1
71,4122060004.0,0,1,1
72,4130200049.0,0,1,1
73,4155010002.0,0,1,7
74,4159600060.0,0,1,1
75,5001960001.0,0,1,7
76,5012450001.0,0,3,2
